id,title,org_name,location,ncs,job_type,start_date,end_date,dday,status,detail_url
1,채용형 인턴 채용공고(주택관리공단 대전충남지사),주택관리공단(주),"대전,충남","건설,기계,전기.전자,환경.에너지.안전",청년인턴(채용형),2025.07.02,25.07.09,D-6,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287858
2,체험형 인턴 채용공고(주택관리공단 강원지사),주택관리공단(주),강원,경영.회계.사무,청년인턴(체험형),2025.07.02,25.07.17,D-14,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287857
3,체험형 인턴 채용공고(주택관리공단 강원지사),주택관리공단(주),강원,"건설,기계,전기.전자,환경.에너지.안전",청년인턴(체험형),2025.07.02,25.07.17,D-14,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287855
4,"체험형 인턴 채용공고(주택관리공단 본사, 장애인)",주택관리공단(주),경남,경영.회계.사무,청년인턴(체험형),2025.07.02,25.07.17,D-14,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287854
5,[태백지사] 청년(체험형)인턴 채용 공고,근로복지공단,강원,경영.회계.사무,청년인턴(체험형),2025.07.02,25.07.09,D-6,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287853
6,2025년 한국통계정보원 무기계약직(경력직 및 채용형 청년인턴) 통합채용 공고,(재)한국통계정보원,대전,"경영.회계.사무,정보통신",무기계약직 외 1,2025.07.02,25.07.15,D-12,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287837
7,2025년 공영홈쇼핑 체험형 청년인턴 채용 공고,(주)공영홈쇼핑,서울,"사업관리,경영.회계.사무,법률.경찰.소방.교도.국방,문화.예술.디자인.방송,영업판매,정보통신",청년인턴(체험형),2025.07.01,25.07.16,D-13,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287802
8,연구개발특구진흥재단 2025년 제2차 신규직원(체험형 청년인턴) 채용 공고,연구개발특구진흥재단,"대전,광주,전북",경영.회계.사무,청년인턴(체험형),2025.07.01,25.07.17,D-14,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287783
9,2025년 하반기 체험형 청년인턴(장애인 전형) 모집,대한무역투자진흥공사,"서울,인천,대전,대구,부산,광주,울산,경기,강원,충남,충북,경북,경남,전북",경영.회계.사무,청년인턴(체험형),2025.07.01,25.12.31,D-181,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287755
10,한국에너지공단 신입직원(채용형 인턴) 채용 공고,한국에너지공단,울산,"경영.회계.사무,법률.경찰.소방.교도.국방,건설,기계,전기.전자,정보통신,환경.에너지.안전",청년인턴(채용형),2025.07.01,25.07.17,D-14,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287728
11,2025년도 하반기 신용보증기금 체험형 청년인턴 채용,신용보증기금,"서울,인천,대전,대구,부산,광주,경기,충남,충북,경남,전남",금융.보험,청년인턴(체험형),2025.07.01,25.07.15,D-12,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287677
12,"[대구보훈병원] (긴급) 계약직[보건직,기능직,업무지원직,청년인턴(장애)] 공개채용",한국보훈복지의료공단,대구,보건.의료,비정규직 외 1,2025.06.30,25.07.10,D-7,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287794
13,2025년도 제3회 공개채용,한국기상산업기술원,"서울,대전,충북","사업관리,경영.회계.사무,환경.에너지.안전",무기계약직 외 2,2025.06.30,25.07.14,D-11,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287788
14,2025년 한국지식재산연구원 제2회 채용 공고,한국지식재산연구원,서울,"사업관리,경영.회계.사무,교육.자연.사회과학,법률.경찰.소방.교도.국방,연구",비정규직 외 1,2025.06.30,25.07.15,D-12,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287777
15,채용형 인턴 채용공고(주택관리공단 강원지사),주택관리공단(주),강원,"건설,기계,전기.전자,환경.에너지.안전",청년인턴(채용형),2025.06.30,25.07.07,D-4,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287759
16,채용형 인턴 채용공고(주택관리공단 인천지사),주택관리공단(주),울산,"건설,기계,전기.전자,환경.에너지.안전",청년인턴(채용형),2025.06.30,25.07.08,D-5,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287757
17,체험형 인턴 채용공고(주택관리공단 대구경북지사),주택관리공단(주),경북,"건설,기계,전기.전자,환경.에너지.안전",청년인턴(체험형),2025.06.30,25.07.14,D-11,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287708
18,"한국한의약진흥원 2025년도 제4차 정규직, 무기계약직, 계약직, 청년인턴 채용 공고",한국한의약진흥원,"서울,대구,경북","사업관리,보건.의료,전기.전자,정보통신,연구",무기계약직 외 3,2025.06.27,25.07.11,D-8,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287730
19,2025년 제1차 국립울진해양과학관 직원 채용 공고,국립해양과학관,경북,"사업관리,경영.회계.사무,교육.자연.사회과학,문화.예술.디자인.방송,환경.에너지.안전",비정규직 외 2,2025.06.27,25.07.11,D-8,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287729
20,2025년도 한국학중앙연구원 한국학대학원 청년인턴 공개채용 공고,한국학중앙연구원,경기,"사업관리,경영.회계.사무,교육.자연.사회과학",청년인턴(체험형),2025.06.27,25.07.11,D-8,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287725
21,[태백병원] 장애전형 청년(체험형)인턴 채용 공고,근로복지공단,강원,보건.의료,청년인턴(체험형),2025.06.27,25.07.04,D-1,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287711
22,채용형 인턴 채용공고(주택관리공단 대구경북지사),주택관리공단(주),"대구,경북","건설,기계,전기.전자,환경.에너지.안전",청년인턴(채용형),2025.06.27,25.07.04,D-1,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287707
23,2025년도 제2차 체험형 청년인턴 선발,한국수력원자력(주),"서울,대전,부산,울산,경기,강원,경북,경남,전남,전북","경영.회계.사무,건설,기계,화학,전기.전자,정보통신,환경.에너지.안전",청년인턴(체험형),2025.06.27,25.07.14,D-11,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287672
24,2025년도 한국법제연구원 청년인턴 채용 공고,한국법제연구원,세종,"경영.회계.사무,교육.자연.사회과학",청년인턴(체험형),2025.06.26,25.07.11,D-8,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287699
25,2025년 제3차 한국발명진흥회 체험형 인턴 채용(KOICA-YP),한국발명진흥회,서울,"사업관리,경영.회계.사무",청년인턴(체험형),2025.06.26,25.07.10,D-7,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287678
26,제주대학교병원 체험형 청년인턴(사무보조) 모집공고,제주대학교병원,제주,보건.의료,청년인턴(체험형),2025.06.26,25.07.02,D-Day,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287676
27,체험형 인턴 채용공고(주택관리공단 서울지사),주택관리공단(주),서울,"건설,기계,전기.전자,환경.에너지.안전",청년인턴(체험형),2025.06.26,25.07.03,D+0,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287666
28,2025년도 안전보건공단 신규직원(신입직_채용형 인턴 6급) 채용 공고,한국산업안전보건공단,"서울,인천,대전,대구,부산,광주,울산,경기,강원,충남,충북,경북,경남,전남,전북,제주","사업관리,경영.회계.사무,환경.에너지.안전",청년인턴(채용형),2025.06.26,25.07.11,D-8,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287659
29,2025년도 안전보건공단 신규직원(신입직_채용형 인턴 5급) 채용 공고,한국산업안전보건공단,"서울,인천,대전,대구,부산,광주,울산,경기,강원,충남,충북,경북,경남,전남,전북,제주","사업관리,경영.회계.사무,환경.에너지.안전",청년인턴(채용형),2025.06.26,25.07.11,D-8,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287657
30,국토연구원 2025년 하반기 KOICA 영프로페셔널(YP인턴) 공개채용,국토연구원,세종,"사업관리,경영.회계.사무",청년인턴(체험형),2025.06.25,25.07.09,D-6,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287642
31,국토연구원 2025년 제5차 청년인턴 공개채용(일반경쟁),국토연구원,세종,경영.회계.사무,청년인턴(체험형),2025.06.25,25.07.09,D-6,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287633
32,2025년 제5차 체험형인턴 및 제7차 계약직직원 채용 공고,한국식품안전관리인증원,"서울,대전,대구,부산,광주,경기,강원,충북,제주","사업관리,경영.회계.사무,교육.자연.사회과학,보건.의료,식품가공",비정규직 외 1,2025.06.25,25.07.03,D+0,진행중,https://job.alio.go.kr/recruit.do?pageNo=1&idx=287632
